spd,vsb,temp,dewp,slp,pcp01,pcp06,pcp24,sd,hday,Bronx,Brooklyn,EWR,Manhattan,Queens,Staten Island,day,month,range
0.23809523809523808,1.0,0.6987951807228916,0.6097560975609757,0.4461538461538481,0.0,0.1431451612903226,0.0,0.0,0,0,0,0,0,1,0,21,5,6
0.0,0.2,0.3253012048192771,0.5,0.5211538461538474,0.0,0.0,0.19047619047619047,0.0,0,0,0,0,0,0,1,21,3,4
0.23809523809523808,1.0,0.4578313253012048,0.5,0.736538461538462,0.0,0.0,0.0047619047619047615,0.11842105263157894,0,0,0,0,1,0,0,14,3,1
0.23809523809523808,1.0,0.6265060240963856,0.6097560975609757,0.2923076923076948,0.0,0.0,0.5033333333333333,0.0,0,1,0,0,0,0,0,28,4,1
0.38095238095238093,1.0,0.6265060240963856,0.48780487804878053,0.5846153846153825,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,19,4,4
0.14285714285714285,1.0,0.37349397590361444,0.45121951219512196,0.6076923076923073,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,18,1,2
0.7619047619047619,1.0,0.4939759036144578,0.4634146341463415,0.5749999999999993,0.0,0.0,0.0,0.29824561403508787,0,0,1,0,0,0,0,12,3,3
0.3333333333333333,1.0,0.42168674698795183,0.48780487804878053,0.16730769230769482,0.0,0.19489247311827984,0.2714285714285714,0.1535087719298247,0,0,0,0,0,1,0,25,1,3
0.0,0.7000000000000001,0.7590361445783134,0.9268292682926829,0.6192307692307715,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,10,5,4
0.14285714285714285,1.0,0.3373493975903614,0.4024390243902439,0.375,0.0,0.0,0.04285714285714285,0.42105263157894735,1,0,0,0,1,0,0,12,2,3
0.6190476190476191,1.0,0.5783132530120483,0.3780487804878049,0.407692307692308,0.0,0.04435483870967742,0.0,0.0,0,0,1,0,0,0,0,4,4,7
0.14285714285714285,1.0,0.6265060240963856,0.4634146341463415,0.559615384615384,0.0,0.0,0.20055555555555574,0.7368421052631579,0,0,0,1,0,0,0,9,3,7
0.6190476190476191,1.0,0.5783132530120483,0.3780487804878049,0.407692307692308,0.0,0.04435483870967742,0.0,0.0,0,0,0,0,0,1,0,4,4,7
0.42857142857142855,1.0,0.3614457831325301,0.2682926829268293,0.6230769230769226,0.0,0.0268817204301075,0.0,0.0,0,0,0,0,0,0,1,23,3,6
0.3333333333333333,1.0,0.48192771084337355,0.5487804878048781,0.27307692307692477,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,23,4,3
0.23809523809523808,1.0,0.6927710843373495,0.8048780487804879,0.5500000000000007,0.0,0.0,0.07777777777777761,0.0,0,0,1,0,0,0,0,14,4,4
0.45238095238095233,0.8050000000000002,0.3855421686746988,0.4451219512195122,0.5500000000000007,0.0,0.0,0.0,0.6359649122807001,0,0,1,0,0,0,0,2,3,5
0.14285714285714285,1.0,0.783132530120482,0.7926829268292683,0.5749999999999993,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,9,5,1
0.5238095238095237,1.0,0.6265060240963856,0.5609756097560976,0.42884615384615543,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,11,4,5
0.22857142857142854,0.7000000000000001,0.3156626506024096,0.4609756097560976,0.1346153846153868,0.0,0.0,0.0,0.42105263157894735,0,0,0,1,0,0,0,15,2,1
0.14285714285714285,1.0,0.710843373493976,0.7195121951219512,0.46923076923076934,0.0,0.00806451612903226,0.0,0.0,0,0,0,0,1,0,0,18,4,4
0.3333333333333333,1.0,0.4939759036144578,0.5487804878048781,0.4192307692307722,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,22,3,2
0.0,1.0,0.9879518072289158,0.8414634146341464,0.578846153846154,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,5,5,7
0.0,1.0,0.6987951807228916,0.8414634146341464,0.5250000000000021,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,19,5,2
0.38095238095238093,1.0,0.42168674698795183,0.3902439024390244,0.4884615384615394,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,2,1,3
0.0,1.0,0.5180722891566266,0.43902439024390244,0.5480769230769234,0.0,0.0,0.24563492063492043,0.8640350877192999,0,0,0,0,1,0,0,9,3,8
0.38095238095238093,1.0,0.4457831325301205,0.524390243902439,0.3538461538461526,0.0,0.20631720430107503,0.7161111111111096,0.0,1,1,0,0,0,0,0,19,1,5
0.3333333333333333,1.0,0.5180722891566266,0.5,0.611538461538462,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,12,4,2
0.38095238095238093,1.0,0.3373493975903614,0.3048780487804878,0.48461538461538467,0.0,0.0,0.0047619047619047615,0.0,0,0,1,0,0,0,0,18,3,4
0.0,1.0,0.27710843373493976,0.18292682926829268,0.9038461538461569,0.0,0.0,0.0,0.5701754385964896,0,0,0,1,0,0,0,1,3,3
0.14285714285714285,1.0,0.4939759036144578,0.4024390243902439,0.5673076923076934,0.0,0.0,0.0047619047619047615,0.0,0,0,0,0,0,0,1,5,4,2
0.42857142857142855,1.0,0.6385542168674699,0.475609756097561,0.5769230769230766,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,19,4,3
0.2857142857142857,1.0,0.8313253012048194,0.7560975609756098,0.5942307692307693,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,6,5,2
0.3333333333333333,1.0,0.4939759036144578,0.5121951219512195,0.3115384615384613,0.0,0.0,0.023809523809523808,0.0,0,0,0,0,1,0,0,23,4,4
0.22619047619047616,0.2025,0.37349397590361444,0.5609756097560976,0.27307692307692477,0.16964285714285712,0.0,0.0,0.039473684210526314,0,0,1,0,0,0,0,24,1,4
